시점,읍면동별(1),세대수,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구
시점,읍면동별(1),소계,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인
시점,읍면동별(1),소계,소계,남,여,소계,남,여,소계,남,여
2022.09,합계,216844,503567,257914,245653,492267,249924,242343,11300,7990,3310
2022.09,문산읍,21933,48838,25233,23605,48021,24768,23253,817,465,352
2022.09,조리읍,12826,30329,15673,14656,29230,14844,14386,1099,829,270
2022.09,법원읍,5597,10969,6025,4944,10300,5511,4789,669,514,155
2022.09,파주읍,7567,14493,7940,6553,13726,7300,6426,767,640,127
2022.09,광탄면,5915,12733,7519,5214,11009,6029,4980,1724,1490,234
2022.09,탄현면,7368,14489,8255,6234,13397,7360,6037,1092,895,197
2022.09,월롱면,7389,10339,7140,3199,9653,6533,3120,686,607,79
2022.09,적성면,3682,7589,4208,3381,7289,3977,3312,300,231,69
2022.09,파평면,2080,4051,2206,1845,3770,1994,1776,281,212,69
2022.09,장단면,306,734,384,350,718,377,341,16,7,9
2022.09,교하동,25140,63621,32332,31289,62533,31551,30982,1088,781,307
2022.09,운정1동,21571,52912,26042,26870,52411,25776,26635,501,266,235
2022.09,운정2동,23942,62504,30424,32080,62217,30323,31894,287,101,186
2022.09,운정3동,34535,87268,42454,44814,86588,42143,44445,680,311,369
2022.09,금촌1동,12720,23055,12336,10719,22433,12037,10396,622,299,323
2022.09,금촌2동,13039,32421,15816,16605,32167,15722,16445,254,94,160
2022.09,금촌3동,11234,27222,13927,13295,26805,13679,13126,417,248,169
